DocumentFieldName,TableColumnName,DelimitedColumnIndex,FwStartPosition,FwEndPosition,FieldLength,DiscardFlag,LookupType,LookupCategory,LookupInputColumn1,LookupInputColumn2,LookupInputColumn3,LookupInputColumn4,LookupOutputColumn,,,
BLANK,Blank,,2300,2300,1,Y,,,,,,,,,,
READING_LEXILE_MEASURE_CURR_YR_MAY_RETEST,Reading Lexile Measure Current Year May Retest,,2301,2305,5,,,,,,,,,,,
READING_MEETS_GRADE_LEVEL_CURR_YR_MAY_RETEST,Reading Meets Grade Level Current Year May Retest,,2306,2306,1,,,,,,,,,,,
READING_PERCENTILE_CURR_YR_MAY_RETEST,Reading Percentile Current Year May Retest,,2307,2309,3,,,,,,,,,,,
,Reading Proficency Level Current Year May Retest ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Reading Meets Grade Level Current Year May Retest,Reading Approaches Grade Level Current Year May Retest,Reading Masters Grade Level Current Year May Retest,,OutputValue1,,,
,Reading Proficency Level Current Year May Retest Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Reading Meets Grade Level Current Year May Retest,Reading Approaches Grade Level Current Year May Retest,Reading Masters Grade Level Current Year May Retest,,OutputValue2,,,
BLANK,Blank,,2310,2310,1,Y,,,,,,,,,,
MATHEMATICS_COUNTY_DISTRICT_CAMPUS_NUMBER_CURR_YR,Mathematics County District Campus Number Current Year,,2311,2319,9,,,,,,,,,,,
MATHEMATICS_LANGUAGE_VERSION_CURR_YR,Mathematics Language Version Current Year,,2320,2320,1,,,,,,,,,,,
,Mathematics Language Version Current Year Desc,,,,7,,ExactCodeLookup,LanguageVersion,Mathematics Language Version Current Year,,,,OutputValue1,,,
MATHEMATICS_TEST_VERSION_CURR_YR,Mathematics Test Version Current Year,,2321,2321,1,,,,,,,,,,,
,Mathematics Test Version Current Year Desc,,,,5,,ExactCodeLookup,TestVersion,Mathematics Test Version Current Year,,,,OutputValue1,,,
MATHEMATICS_SCORE_CODE_CURR_YR,Mathematics Score Code Current Year,,2322,2322,1,,,,,,,,,,,
MATHEMATICS_APPROACHES_GRADE_LEVEL_CURR_YR,Mathematics Approaches Grade Level Current Year,,2323,2323,1,,,,,,,,,,,
MATHEMATICS_MASTERS_GRADE_LEVEL_CURR_YR,Mathematics Masters Grade Level Current Year,,2324,2324,1,,,,,,,,,,,
MATHEMATICS_SCALE_SCORE_CURR_YR,Mathematics Scale Score Current Year,,2325,2328,4,,,,,,,,,,,
MATHEMATICS_STAAR_PROGRESS_MEASURE_CURR_YR,Mathematics STAAR Progress Measure Current Year,,2329,2329,1,,,,,,,,,,,
,Mathematics STAAR Progress Measure Current Year Desc,,,,11,,ExactCodeLookup,STAARProgressMeasure,Mathematics STAAR Progress Measure Current Year,,,,OutputValue1,,,
BLANK,Blank,,2330,2330,1,Y,,,,,,,,,,
MATHEMATICS_MEETS_GRADE_LEVEL_CURR_YR,Mathematics Meets Grade Level Current Year,,2331,2331,1,,,,,,,,,,,
MATHEMATICS_PERCENTILE_CURR_YR,Mathematics Percentile Current Year,,2332,2334,3,,,,,,,,,,,
MATHEMATICS_QUANTILE_MEASURE_CURR_YR ,Mathematics Quantile Measure Current Year ,,2335,2339,5,,,,,,,,,,,
,Mathematics Proficency Level Current Year  ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Mathematics Meets Grade Level Current Year,Mathematics Approaches Grade Level Current Year,Mathematics Masters Grade Level Current Year,,OutputValue1,,,
,Mathematics Proficency Level Current Year Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Mathematics Meets Grade Level Current Year,Mathematics Approaches Grade Level Current Year,Mathematics Masters Grade Level Current Year,,OutputValue2,,,
BLANK,Blank,,2340,2340,1,Y,,,,,,,,,,
MATHEMATICS_COUNTY_DISTRICT_CAMPUS_NUMBER_CURR_YR_MAY_RETEST,Mathematics County District Campus Number Current Year May Retest,,2341,2349,9,,,,,,,,,,,
MATHEMATICS_LANGUAGE_VERSION_CURR_YR_MAY_RETEST,Mathematics Language Version Current Year May Retest,,2350,2350,1,,,,,,,,,,,
,Mathematics Language Version Current Year May Retest Desc,,,,7,,ExactCodeLookup,LanguageVersion,Mathematics Language Version Current Year May Retest,,,,OutputValue1,,,
MATHEMATICS_TEST_VERSION_CURR_YR_MAY_RETEST,Mathematics Test Version Current Year May Retest,,2351,2351,1,,,,,,,,,,,
,Mathematics Test Version Current Year May Retest Desc,,,,5,,ExactCodeLookup,TestVersion,Mathematics Test Version Current Year May Retest,,,,OutputValue1,,,
MATHEMATICS_SCORE_CODE_CURR_YR_MAY_RETEST,Mathematics Score Code Current Year May Retest,,2352,2352,1,,,,,,,,,,,
MATHEMATICS_APPROACHES_GRADE_LEVEL_CURR_YR_MAY_RETEST,Mathematics Approaches Grade Level Current Year May Retest,,2353,2353,1,,,,,,,,,,,
MATHEMATICS_MASTERS_GRADE_LEVEL_CURR_YR_MAY_RETEST,Mathematics Masters Grade Level Current Year May Retest,,2354,2354,1,,,,,,,,,,,
MATHEMATICS_SCALE_SCORE_CURR_YR_MAY_RETEST,Mathematics Scale Score Current Year May Retest,,2355,2358,4,,,,,,,,,,,
MATHEMATICS_STAAR_PROGRESS_MEASURE_CURR_YR_MAY_RETEST,Mathematics STAAR Progress Measure Current Year May Retest,,2359,2359,1,,,,,,,,,,,
,Mathematics STAAR Progress Measure Current Year May Retest Desc,,,,11,,ExactCodeLookup,STAARProgressMeasure,Mathematics STAAR Progress Measure Current Year May Retest,,,,OutputValue1,,,
BLANK,Blank,,2360,2360,1,Y,,,,,,,,,,
MATHEMATICS_MEETS_GRADE_LEVEL_CURR_YR_MAY_RETEST,Mathematics Meets Grade Level Current Year May Retest,,2361,2361,1,,,,,,,,,,,
MATHEMATICS_PERCENTILE_CURR_YR_MAY_RETEST,Mathematics Percentile Current Year May Retest,,2362,2364,3,,,,,,,,,,,
MATHEMATICS_QUANTILE_MEASURE_CURR_YR_MAY_RETEST,Mathematics Quantile Measure Current Year May Retest,,2365,2369,5,,,,,,,,,,,
,Mathematics Proficency Level Current Year May Retest ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Mathematics Meets Grade Level Current Year May Retest,Mathematics Approaches Grade Level Current Year May Retest,Mathematics Masters Grade Level Current Year May Retest,,OutputValue1,,,
,Mathematics Proficency Level Current Year May Retest Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Mathematics Meets Grade Level Current Year,Mathematics Approaches Grade Level Current Year,Mathematics Masters Grade Level Current Year,,OutputValue2,,,
BLANK,Blank,,2370,2370,1,Y,,,,,,,,,,
SOCIAL_STUDIES_COUNTY_DISTRICT_CAMPUS_NUMBER_CURR_YR,Social Studies County District Campus Number Current Year,,2371,2379,9,,,,,,,,,,,
SOCIAL_STUDIES_LANGUAGE_VERSION_CURR_YR,Social Studies Language Version Current Year,,2380,2380,1,,,,,,,,,,,
,Social Studies Language Version Current Year Desc,,,,7,,ExactCodeLookup,LanguageVersion,Social Studies Language Version Current Year,,,,OutputValue1,,,
SOCIAL_STUDIES_TEST_VERSION_CURR_YR,Social Studies Test Version Current Year,,2381,2381,1,,,,,,,,,,,
,Social Studies Test Version Current Year Desc,,,,5,,ExactCodeLookup,TestVersion,Social Studies Test Version Current Year,,,,OutputValue1,,,
SOCIAL_STUDIES_SCORE_CODE_CURR_YR,Social Studies Score Code Current Year,,2382,2382,1,,,,,,,,,,,
SOCIAL_STUDIES_APPROACHES_GRADE_LEVEL_CURR_YR,Social Studies Approaches Grade Level Current Year,,2383,2383,1,,,,,,,,,,,
SOCIAL_STUDIES_MASTERS_GRADE_LEVEL_CURR_YR,Social Studies Masters Grade Level Current Year,,2384,2384,1,,,,,,,,,,,
SOCIAL_STUDIES_SCALE_SCORE_CURR_YR,Social Studies Scale Score Current Year,,2385,2388,4,,,,,,,,,,,
BLANK,Blank,,2389,2389,1,Y,,,,,,,,,,
SOCIAL_STUDIES_MEETS_GRADE_LEVEL_CURR_YR,Social Studies Meets Grade Level Current Year,,2390,2390,1,,,,,,,,,,,
SOCIAL_STUDIES_PERCENTILE_CURR_YR,Social Studies Percentile Current Year,,2391,2393,3,,,,,,,,,,,
,Social Studies Proficency Level Current Year  ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Social Studies Meets Grade Level Current Year,Social Studies Approaches Grade Level Current Year,Social Studies Masters Grade Level Current Year,,OutputValue1,,,
,Social Studies Proficency Level Current Year Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Social Studies Meets Grade Level Current Year,Social Studies Approaches Grade Level Current Year,Social Studies Masters Grade Level Current Year,,OutputValue2,,,
BLANK,Blank,,2394,2400,7,Y,,,,,,,,,,
SCIENCE_COUNTY_DISTRICT_CAMPUS_NUMBER_CURR_YR,Science County District Campus Number Current Year,,2401,2409,9,,,,,,,,,,,
SCIENCE_LANGUAGE_VERSION_CURR_YR,Science Language Version Current Year,,2410,2410,1,,,,,,,,,,,
,Science Language Version Current Year Desc,,,,7,,ExactCodeLookup,LanguageVersion,Science Language Version Current Year,,,,OutputValue1,,,
SCIENCE_TEST_VERSION_CURR_YR,Science Test Version Current Year,,2411,2411,1,,,,,,,,,,,
,Science Test Version Current Year Desc,,,,5,,ExactCodeLookup,TestVersion,Science Test Version Current Year,,,,OutputValue1,,,
SCIENCE_SCORE_CODE_CURR_YR,Science Score Code Current Year,,2412,2412,1,,,,,,,,,,,
SCIENCE_APPROACHES_GRADE_LEVEL_CURR_YR,Science Approaches Grade Level Current Year,,2413,2413,1,,,,,,,,,,,
SCIENCE_MASTERS_GRADE_LEVEL_CURR_YR,Science Masters Grade Level Current Year,,2414,2414,1,,,,,,,,,,,
SCIENCE_SCALE_SCORE_CURR_YR,Science Scale Score Current Year,,2415,2418,4,,,,,,,,,,,
BLANK,Blank,,2419,2419,1,Y,,,,,,,,,,
SCIENCE_MEETS_GRADE_LEVEL_CURR_YR,Science Meets Grade Level Current Year,,2420,2420,1,,,,,,,,,,,
SCIENCE_PERCENTILE_CURR_YR,Science Percentile Current Year,,2421,2423,3,,,,,,,,,,,
,Science Proficency Level Current Year  ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Science Meets Grade Level Current Year,Science Approaches Grade Level Current Year,Science Masters Grade Level Current Year,,OutputValue1,,,
,Science Proficency Level Current Year Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Science Meets Grade Level Current Year,Science Approaches Grade Level Current Year,Science Masters Grade Level Current Year,,OutputValue2,,,
BLANK,Blank,,2424,2430,7,Y,,,,,,,,,,
READING_REPORTING_CATEGORY_SCORES_CURR_YR,Reading Reporting Category Scores Current Year,,2431,2436,6,,,,,,,,,,,
READING_RAW_SCORE_CURR_YR,Reading Raw Score Current Year,,2437,2438,2,,,,,,,,,,,
BLANK,Blank,,2439,2440,2,Y,,,,,,,,,,
READING_REPORTING_CATEGORY_SCORES_CURR_YR_MAY_RETEST,Reading Reporting Category Scores Current Year May Retest,,2441,2446,6,,,,,,,,,,,
READING_RAW_SCORE_CURR_YR_MAY_RETEST,Reading Raw Score Current Year May Retest,,2447,2448,2,,,,,,,,,,,
BLANK,Blank,,2449,2450,2,Y,,,,,,,,,,
MATHEMATICS_REPORTING_CATEGORY_SCORES_CURR_YR,Mathematics Reporting Category Scores Current Year,,2451,2458,8,,,,,,,,,,,
MATHEMATICS_RAW_SCORE_CURR_YR,Mathematics Raw Score Current Year,,2459,2460,2,,,,,,,,,,,
BLANK,Blank,,2461,2462,2,Y,,,,,,,,,,
MATHEMATICS_REPORTING_CATEGORY_SCORES_CURR_YR_MAY_RETEST,Mathematics Reporting Category Scores Current Year May Retest,,2463,2470,8,,,,,,,,,,,
MATHEMATICS_RAW_SCORE_CURR_YR_MAY_RETEST,Mathematics Raw Score Current Year May Retest,,2471,2472,2,,,,,,,,,,,
BLANK,Blank,,2473,2500,28,Y,,,,,,,,,,
READING_COUNTRY_DISTRICT_CAMPUS_NUMBER_PREV_YR,Reading Country District Campus Number Previous Year,,2501,2509,9,,,,,,,,,,,
READING_LANGUAGE_VERSION_PREV_YR,Reading Language Version Previous Year,,2510,2510,1,,,,,,,,,,,
,Reading Language Version Previous Year Desc,,,,7,,ExactCodeLookup,LanguageVersion,Reading Language Version Previous Year,,,,OutputValue1,,,
READING_TEST_VERSION_PREV_YR,Reading Test Version Previous Year,,2511,2511,1,,,,,,,,,,,
,Reading Test Version Previous Year Desc,,,,5,,ExactCodeLookup,TestVersion,Reading Test Version Previous Year,,,,OutputValue1,,,
READING_SCORE_CODE_PREV_YR,Reading Score Code Previous Year,,2512,2512,1,,,,,,,,,,,
READING_APPROACHES_GRADE_LEVEL_PREV_YR,Reading Approaches Grade Level Previous Year,,2513,2513,1,,,,,,,,,,,
READING_MASTERS_GRADE_LEVEL_PREV_YR,Reading Masters Grade Level Previous Year,,2514,2514,1,,,,,,,,,,,
READING_SCALE_SCORE_PREV_YR,Reading Scale Score Previous Year,,2515,2518,4,,,,,,,,,,,
READING_TESTED_GRADE_PREV_YR,Reading Tested Grade Previous Year,,2519,2520,2,,,,,,,,,,,
READING_ENROLLED_GRADE_PREV_YR,Reading Enrolled Grade Previous Year,,2521,2522,2,,,,,,,,,,,
READING_STAAR_PROGRESS_MEASURE_PREV_YR,Reading STAAR Progress Measure Previous Year,,2523,2523,1,,,,,,,,,,,
,Reading STAAR Progress Measure Previous Year Desc,,,,11,,ExactCodeLookup,STAARProgressMeasure,Reading STAAR Progress Measure Previous Year,,,,OutputValue1,,,
READING_ELL_PROGRESS_MEASURE_PREV_YR,Reading ELL Progress Measure Previous Year,,2524,2524,1,,,,,,,,,,,
READING_LEXILE_MEASURE_PREV_YR,Reading LEXILE Measure Previous Year,,2525,2529,5,,,,,,,,,,,
READING_MEETS_GRADE_LEVEL_PREV_YR,Reading Meets Grade Level Previous Year,,2530,2530,1,,,,,,,,,,,
,Reading Proficency Level Previous Year  ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Reading Meets Grade Level Previous Year,Reading Approaches Grade Level Previous Year,Reading Masters Grade Level Previous Year,,OutputValue1,,,
,Reading Proficency Level Previous Year Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Reading Meets Grade Level Previous Year,Reading Approaches Grade Level Previous Year,Reading Masters Grade Level Previous Year,,OutputValue2,,,
READING_COUNTRY_DISTRICT_CAMPUS_NUMBER_PREV_YR_SPRING,Reading Country District Campus Number Previous Year Spring,,2531,2539,9,,,,,,,,,,,
READING_LANGUAGE_VERSION_PREV_YR_SPRING,Reading Language Version Previous Year Spring,,2540,2540,1,,,,,,,,,,,
,Reading Language Version Previous Year Spring Desc,,,,7,,ExactCodeLookup,LanguageVersion,Reading Language Version Previous Year Spring,,,,OutputValue1,,,
READING_TEST_VERSION_PREV_YR_SPRING,Reading Test Version Previous Year Spring,,2541,2541,1,,,,,,,,,,,
,Reading Test Version Previous Year Spring Desc,,,,5,,ExactCodeLookup,TestVersion,Reading Test Version Previous Year Spring,,,,OutputValue1,,,
READING_SCORE_CODE_PREV_YR_SPRING,Reading Score Code Previous Year Spring,,2542,2542,1,,,,,,,,,,,
READING_APPROACHES_GRADE_LEVEL_PREV_YR_SPRING,Reading Approaches Grade Level Previous Year Spring,,2543,2543,1,,,,,,,,,,,
READING_MASTERS_GRADE_LEVEL_PREV_YR_SPRING,Reading Masters Grade Level Previous Year Spring,,2544,2544,1,,,,,,,,,,,
READING_SCALE_SCORE_PREV_YR_SPRING,Reading Scale Score Previous Year Spring,,2545,2548,4,,,,,,,,,,,
READING_TESTED_GRADE_PREV_YR_SPRING,Reading Tested Grade Previous Year Spring,,2549,2550,2,,,,,,,,,,,
READING_ENROLLED_GRADE_PREV_YR_SPRING,Reading Enrolled Grade Previous Year Spring,,2551,2552,2,,,,,,,,,,,
BLANK,Blank,,2553,2553,1,Y,,,,,,,,,,
READING_STAAR_PROGRESS_MEASURE_PREV_YR_SPRING,Reading STAAR Progress Measure Previous Year Spring,,2554,2554,1,,,,,,,,,,,
,Reading STAAR Progress Measure Previous Year Spring Desc,,,,11,,ExactCodeLookup,STAARProgressMeasure,Reading STAAR Progress Measure Previous Year Spring,,,,OutputValue1,,,
READING_ELL_PROGRESS_MEASURE_PREV_YR_SPRING,Reading ELL Progress Measure Previous Year Spring,,2555,2555,1,,,,,,,,,,,
READING_LEXILE_MEASURE_PREV_YR_SPRING,Reading LEXILE Measure Previous Year Spring,,2556,2560,5,,,,,,,,,,,
,Reading Proficency Level Previous Year Spring ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Reading Meets Grade Level Previous Year Spring,Reading Approaches Grade Level Previous Year Spring,Reading Masters Grade Level Previous Year Spring,,OutputValue1,,,
,Reading Proficency Level Previous Year Spring Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Reading Meets Grade Level Previous Year Spring,Reading Approaches Grade Level Previous Year Spring,Reading Masters Grade Level Previous Year Spring,,OutputValue2,,,
READING_COUNTRY_DISTRICT_CAMPUS_NUMBER_PREV_YR_MAY_RETEST,Reading Country District Campus Number Previous Year May Retest,,2561,2569,9,,,,,,,,,,,
READING_LANGUAGE_VERSION_PREV_YR_MAY_RETEST,Reading Language Version Previous Year May Retest,,2570,2570,1,,,,,,,,,,,
,Reading Language Version Previous Year May Retest Desc,,,,7,,ExactCodeLookup,LanguageVersion,Reading Language Version Previous Year May Retest,,,,OutputValue1,,,
READING_TEST_VERSION_PREV_YR_MAY_RETEST,Reading Test Version Previous Year May Retest,,2571,2571,1,,,,,,,,,,,
,Reading Test Version Previous Year May Retest Desc,,,,5,,ExactCodeLookup,TestVersion,Reading Test Version Previous Year May Retest,,,,OutputValue1,,,
READING_SCORE_CODE_PREV_YR_MAY_RETEST,Reading Score Code Previous Year May Retest,,2572,2572,1,,,,,,,,,,,
READING_APPROACHES_GRADE_LEVEL_PREV_YR_MAY_RETEST,Reading Approaches Grade Level Previous Year May Retest,,2573,2573,1,,,,,,,,,,,
READING_MASTERS_GRADE_LEVEL_PREV_YR_MAY_RETEST,Reading Masters Grade Level Previous Year May Retest,,2574,2574,1,,,,,,,,,,,
READING_SCALE_SCORE_PREV_YR_MAY_RETEST,Reading Scale Score Previous Year May Retest,,2575,2578,4,,,,,,,,,,,
READING_TESTED_GRADE_PREV_YR_MAY_RETEST,Reading Tested Grade Previous Year May Retest,,2579,2580,2,,,,,,,,,,,
READING_ENROLLED_GRADE_PREV_YR_MAY_RETEST,Reading Enrolled Grade Previous Year May Retest,,2581,2582,2,,,,,,,,,,,
READING_STAAR_PROGRESS_MEASURE_PREV_YR_MAY_RETEST,Reading STAAR Progress Measure Previous Year May Retest,,2583,2583,1,,,,,,,,,,,
,Reading STAAR Progress Measure Previous Year May Retest Desc,,,,11,,ExactCodeLookup,STAARProgressMeasure,Reading STAAR Progress Measure Previous Year May Retest,,,,OutputValue1,,,
READING_ELL_PROGRESS_MEASURE_PREV_YR_MAY_RETEST,Reading ELL Progress Measure Previous Year May Retest,,2584,2584,1,,,,,,,,,,,
READING_LEXILE_MEASURE_PREV_YR_MAY_RETEST,Reading LEXILE Measure Previous Year May Retest,,2585,2589,5,,,,,,,,,,,
READING_MEETS_GRADE_LEVEL_PREV_YR_MAY_RETEST,Reading Meets Grade Level Previous Year May Retest,,2590,2590,1,,,,,,,,,,,
,Reading Proficency Level Previous Year May Retest ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Reading Meets Grade Level Previous Year May Retest,Reading Approaches Grade Level Previous Year May Retest,Reading Masters Grade Level Previous Year May Retest,,OutputValue1,,,
,Reading Proficency Level Previous Year May Retest Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Reading Meets Grade Level Previous Year May Retest,Reading Approaches Grade Level Previous Year May Retest,Reading Masters Grade Level Previous Year May Retest,,OutputValue2,,,
READING_COUNTRY_DISTRICT_CAMPUS_NUMBER_PREV_YR_JUNE_RETEST,Reading Country District Campus Number Previous Year June Retest,,2591,2599,9,,,,,,,,,,,
READING_LANGUAGE_VERSION_PREV_YR_JUNE_RETEST,Reading Language Version Previous Year June Retest,,2600,2600,1,,,,,,,,,,,
,Reading Language Version Previous Year June Retest Desc,,,,7,,ExactCodeLookup,LanguageVersion,Reading Language Version Previous Year June Retest,,,,OutputValue1,,,
READING_TEST_VERSION_PREV_YR_JUNE_RETEST,Reading Test Version Previous Year June Retest,,2601,2601,1,,,,,,,,,,,
,Reading Test Version Previous Year June Retest Desc,,,,5,,ExactCodeLookup,TestVersion,Reading Test Version Previous Year June Retest,,,,OutputValue1,,,
READING_SCORE_CODE_PREV_YR_JUNE_RETEST,Reading Score Code Previous Year June Retest,,2602,2602,1,,,,,,,,,,,
READING_APPROACHES_GRADE_LEVEL_PREV_YR_JUNE_RETEST,Reading Approaches Grade Level Previous Year June Retest,,2603,2603,1,,,,,,,,,,,
READING_MEETS_GRADE_LEVEL_PREV_YR_JUNE_RETEST,Reading Meets Grade Level Previous year June Retest,,2604,2604,1,,,,,,,,,,,
READING_MASTERS_GRADE_LEVEL_PREV_YR_JUNE_RETEST,Reading Masters Grade Level Previous Year June Retest,,2605,2605,1,,,,,,,,,,,
READING_SCALE_SCORE_PREV_YR_JUNE_RETEST,Reading Scale Score Previous Year June Retest,,2606,2609,4,,,,,,,,,,,
READING_TESTED_GRADE_PREV_YR_JUNE_RETEST,Reading Tested Grade Previous Year June Retest,,2610,2611,2,,,,,,,,,,,
READING_ENROLLED_GRADE_PREV_YR_JUNE_RETEST,Reading Enrolled Grade Previous Year June Retest,,2612,2613,2,,,,,,,,,,,
READING_STAAR_PROGRESS_MEASURE_PREV_YR_JUNE_RETEST,Reading STAAR Progress Measure Previous Year June Retest,,2614,2614,1,,,,,,,,,,,
,Reading STAAR Progress Measure Previous Year June Retest Desc,,,,11,,ExactCodeLookup,STAARProgressMeasure,Reading STAAR Progress Measure Previous Year June Retest,,,,OutputValue1,,,
READING_ELL_PROGRESS_MEASURE_PREV_YR_JUNE_RETEST,Reading ELL Progress Measure Previous Year June Retest,,2615,2615,1,,,,,,,,,,,
READING_LEXILE_MEASURE_PREV_YR_JUNE_RETEST,Reading LEXILE Measure Previous Year June Retest,,2616,2620,5,,,,,,,,,,,
,Reading Proficency Level Previous Year June Retest ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Reading Meets Grade Level Previous year June Retest,Reading Approaches Grade Level Previous Year June Retest,Reading Masters Grade Level Previous Year June Retest,,OutputValue1,,,
,Reading Proficency Level Previous Year June Retest Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Reading Meets Grade Level Previous year June Retest,Reading Approaches Grade Level Previous Year June Retest,Reading Masters Grade Level Previous Year June Retest,,OutputValue2,,,
MATHEMATICS_COUNTRY_DISTRICT_CAMPUS_NUMBER_PREV_YR,Mathematics Country District Campus Number Previous Year,,2621,2629,9,,,,,,,,,,,
MATHEMATICS_LANGUAGE_VERSION_PREV_YR,Mathematics Language Version Previous Year,,2630,2630,1,,,,,,,,,,,
,Mathematics Language Version Previous Year Desc,,,,7,,ExactCodeLookup,LanguageVersion,Mathematics Language Version Previous Year,,,,OutputValue1,,,
MATHEMATICS_TEST_VERSION_PREV_YR,Mathematics Test Version Previous Year,,2631,2631,1,,,,,,,,,,,
,Mathematics Test Version Previous Year Desc,,,,5,,ExactCodeLookup,TestVersion,Mathematics Test Version Previous Year,,,,OutputValue1,,,
MATHEMATICS_SCORE_CODE_PREV_YR,Mathematics Score Code Previous Year,,2632,2632,1,,,,,,,,,,,
MATHEMATICS_APPROACHES_GRADE_LEVEL_PREV_YR,Mathematics Approaches Grade Level Previous Year,,2633,2633,1,,,,,,,,,,,
MATHEMATICS_MASTERS_GRADE_LEVEL_PREV_YR,Mathematics Masters Grade Level Previous Year,,2634,2634,1,,,,,,,,,,,
MATHEMATICS_SCALE_SCORE_PREV_YR,Mathematics Scale Score Previous Year,,2635,2638,4,,,,,,,,,,,
MATHEMATICS_TESTED_GRADE_PREV_YR,Mathematics Tested Grade Previous Year,,2639,2640,2,,,,,,,,,,,
MATHEMATICS_ENROLLED_GRADE_PREV_YR,Mathematics Enrolled Grade Previous Year,,2641,2642,2,,,,,,,,,,,
MATHEMATICS_STAAR_PROGRESS_MEASURE_PREV_YR,Mathematics STAAR Progress Measure Previous Year ,,2643,2643,1,,,,,,,,,,,
,Mathematics STAAR Progress Measure Previous Year Desc,,,,11,,ExactCodeLookup,STAARProgressMeasure,Mathematics STAAR Progress Measure Previous Year ,,,,OutputValue1,,,
MATHEMATICS_ELL_PROGRESS_MEASURE_PREV_YR,Mathematics ELL Progress Measure Previous Year,,2644,2644,1,,,,,,,,,,,
MATHEMATICS_MEETS_GRADE_LEVEL_PREV_YR,Mathematics Meets Grade Level Previous Year,,2645,2645,1,,,,,,,,,,,
,Mathematics Proficency Level Previous Year  ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Mathematics Meets Grade Level Previous Year,Mathematics Approaches Grade Level Previous Year,Mathematics Masters Grade Level Previous Year,,OutputValue1,,,
,Mathematics Proficency Level Previous Year Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Mathematics Meets Grade Level Previous Year,Mathematics Approaches Grade Level Previous Year,Mathematics Masters Grade Level Previous Year,,OutputValue2,,,
BLANK,Blank,,2646,2650,5,Y,,,,,,,,,,
MATHEMATICS_COUNTRY_DISTRICT_CAMPUS_NUMBER_PREV_YR_SPRING,Mathematics Country District Campus Number Previous Year Spring,,2651,2659,9,,,,,,,,,,,
MATHEMATICS_LANGUAGE_VERSION_PREV_YR_SPRING,Mathematics Language Version Previous Year Spring,,2660,2660,1,,,,,,,,,,,
,Mathematics Language Version Previous Year Spring Desc,,,,7,,ExactCodeLookup,LanguageVersion,Mathematics Language Version Previous Year Spring,,,,OutputValue1,,,
MATHEMATICS_TEST_VERSION_PREV_YR_SPRING,Mathematics Test Version Previous Year Spring,,2661,2661,1,,,,,,,,,,,
,Mathematics Test Version Previous Year Spring Desc,,,,5,,ExactCodeLookup,TestVersion,Mathematics Test Version Previous Year Spring,,,,OutputValue1,,,
MATHEMATICS_SCORE_CODE_PREV_YR_SPRING,Mathematics Score Code Previous Year Spring,,2662,2662,1,,,,,,,,,,,
MATHEMATICS_APPROACHES_GRADE_LEVEL_PREV_YR_SPRING,Mathematics Approaches Grade Level Previous Year Spring,,2663,2663,1,,,,,,,,,,,
MATHEMATICS_MASTERS_GRADE_LEVEL_PREV_YR_SPRING,Mathematics Masters Grade Level Previous Year Spring,,2664,2664,1,,,,,,,,,,,
MATHEMATICS_SCALE_SCORE_PREV_YR_SPRING,Mathematics Scale Score Previous Year Spring,,2665,2668,4,,,,,,,,,,,
MATHEMATICS_TESTED_GRADE_PREV_YR_SPRING,Mathematics Tested Grade Previous Year Spring,,2669,2670,2,,,,,,,,,,,
MATHEMATICS_ENROLLED_GRADE_PREV_YR_SPRING,Mathematics Enrolled Grade Previous Year Spring,,2671,2672,2,,,,,,,,,,,
BLANK,Blank,,2673,2673,1,Y,,,,,,,,,,
MATHEMATICS_STAAR_PROGRESS_MEASURE_PREV_YR_SPRING,Mathematics STAAR Progress Measure Previous Year Spring,,2674,2674,1,,,,,,,,,,,
,Mathematics STAAR Progress Measure Previous Year Spring Desc,,,,11,,ExactCodeLookup,STAARProgressMeasure,Mathematics STAAR Progress Measure Previous Year Spring,,,,OutputValue1,,,
MATHEMATICS_ELL_PROGRESS_MEASURE_PREV_YR_SPRING,Mathematics ELL Progress Measure Previous Year Spring,,2675,2675,1,,,,,,,,,,,
MATHEMATICS_MEETS_GRADE_LEVEL_PREV_YR_SPRING,Mathematics Meets Grade Level Previous Year Spring,,2676,2676,1,,,,,,,,,,,
